id_persona,temperature,situacao,lifestyle,stai_total,stai_1,stai_2,stai_3,stai_4,stai_5,stai_6,stai_7,stai_8,stai_9,stai_10,stai_11,stai_12,stai_13,stai_14,stai_15,stai_16,stai_17,stai_18,stai_19,stai_20
P008752,0.75,padrao_1,moderado,51,3,2,3,3,2,2,3,2,2,3,4,3,2,2,3,2,3,3,2,3
P002122,0.75,padrao_1,ativo,52,3,3,2,4,3,2,3,4,2,3,2,3,4,2,3,2,3,4,2,3
P006797,0.75,padrao_1,moderado,50,3,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3
P007869,0.75,padrao_1,moderado,47,3,3,2,3,2,3,2,3,1,3,2,3,3,2,3,2,3,2,3,2
P001141,0.75,padrao_1,moderado,56,3,4,3,2,3,4,3,2,3,4,2,3,4,3,2,3,4,3,2,4
P010056,0.75,padrao_1,moderado,50,3,3,2,3,2,3,2,3,2,3,2,3,2,2,3,2,3,3,2,3
P010469,0.75,padrao_1,moderado,49,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2
P003900,0.75,padrao_1,moderado,52,3,2,3,2,3,4,3,2,3,2,3,4,3,2,4,3,2,4,3,2
P001013,0.75,padrao_1,moderado,49,3,3,2,4,3,2,3,2,2,3,4,3,2,3,3,2,3,4,3,2
P005868,0.75,padrao_1,ativo,45,3,3,4,2,3,2,3,4,2,3,4,3,2,4,3,3,2,3,4,3
P004270,0.75,padrao_1,sedentário,48,3,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,3,2
P000130,0.75,padrao_1,moderado,47,3,3,2,3,2,3,2,4,3,2,3,2,3,2,4,3,2,3,2,3
P001617,0.75,padrao_1,ativo,45,3,3,2,3,4,2,3,2,3,4,2,3,2,3,4,3,2,3,4,3
P008935,0.75,padrao_1,moderado,53,3,3,2,3,2,3,2,2,4,3,2,3,3,2,3,2,3,4,3,2
P002363,0.75,padrao_1,moderado,53,3,3,2,3,2,3,2,2,4,3,2,3,2,3,2,3,2,3,2,3
P010776,0.75,padrao_1,moderado,47,3,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,4,2
P003398,0.75,padrao_1,ativo,49,3,4,3,2,3,4,3,2,3,2,4,3,2,3,4,2,3,3,4,3
P003331,0.75,padrao_1,sedentário,51,3,2,3,3,2,3,2,2,4,3,2,3,3,2,3,3,2,2,4,3
P001123,0.75,padrao_1,moderado,51,3,4,3,2,3,3,2,4,3,2,3,2,4,3,2,3,4,3,2,3
P007392,0.75,padrao_1,moderado,54,3,4,3,2,3,4,2,3,4,2,3,4,2,3,3,2,4,3,2,3
P007733,0.75,padrao_1,moderado,47,3,3,2,2,3,3,2,2,3,2,3,2,3,2,2,3,2,3,3,2
