,stai_1,stai_2,stai_3,stai_4,stai_5,stai_6,stai_7,stai_8,stai_9,stai_10,stai_11,stai_12,stai_13,stai_14,stai_15,stai_16,stai_17,stai_18,stai_19,stai_20
stai_1,1.0,-0.024,0.043,0.019,0.082,0.001,0.076,0.001,0.088,0.039,0.04,0.048,0.037,0.019,0.051,0.046,0.032,0.067,0.054,0.064
stai_2,-0.024,1.0,-0.306,0.114,0.012,0.298,-0.045,0.182,0.007,0.201,0.005,0.179,0.065,0.123,0.069,0.176,0.063,0.153,0.075,0.19
stai_3,0.043,-0.306,1.0,-0.43,0.252,0.006,0.295,-0.071,0.218,-0.066,0.169,0.014,0.181,0.004,0.127,0.039,0.192,0.019,0.162,0.056
stai_4,0.019,0.114,-0.43,1.0,-0.391,0.019,-0.02,0.161,-0.06,0.222,-0.064,0.14,-0.01,0.142,0.028,0.11,0.052,0.083,0.034,0.14
stai_5,0.082,0.012,0.252,-0.391,1.0,-0.322,0.192,-0.086,0.264,0.007,0.221,-0.0,0.217,0.008,0.2,0.025,0.188,0.044,0.179,0.115
stai_6,0.001,0.298,0.006,0.019,-0.322,1.0,-0.426,0.186,-0.053,0.122,-0.024,0.168,-0.049,0.126,-0.047,0.176,-0.039,0.118,-0.001,0.114
stai_7,0.076,-0.045,0.295,-0.02,0.192,-0.426,1.0,-0.424,0.17,-0.034,0.176,0.017,0.192,-0.035,0.203,0.004,0.206,0.021,0.174,0.047
stai_8,0.001,0.182,-0.071,0.161,-0.086,0.186,-0.424,1.0,-0.392,0.129,-0.05,0.123,-0.032,0.173,-0.06,0.146,-0.019,0.129,-0.041,0.142
stai_9,0.088,0.007,0.218,-0.06,0.264,-0.053,0.17,-0.392,1.0,-0.332,0.129,-0.019,0.223,-0.053,0.18,0.001,0.196,-0.002,0.248,0.023
stai_10,0.039,0.201,-0.066,0.222,0.007,0.122,-0.034,0.129,-0.332,1.0,-0.442,0.166,0.052,0.127,-0.023,0.175,0.009,0.075,0.016,0.23
stai_11,0.04,0.005,0.169,-0.064,0.221,-0.024,0.176,-0.05,0.129,-0.442,1.0,-0.341,0.022,0.035,0.186,-0.036,0.182,0.007,0.148,-0.018
stai_12,0.048,0.179,0.014,0.14,-0.0,0.168,0.017,0.123,-0.019,0.166,-0.341,1.0,-0.344,0.115,0.017,0.2,-0.082,0.239,-0.035,0.148
stai_13,0.037,0.065,0.181,-0.01,0.217,-0.049,0.192,-0.032,0.223,0.052,0.022,-0.344,1.0,-0.375,0.129,0.034,0.302,-0.116,0.257,0.023
stai_14,0.019,0.123,0.004,0.142,0.008,0.126,-0.035,0.173,-0.053,0.127,0.035,0.115,-0.375,1.0,-0.386,0.134,-0.018,0.201,-0.093,0.226
stai_15,0.051,0.069,0.127,0.028,0.2,-0.047,0.203,-0.06,0.18,-0.023,0.186,0.017,0.129,-0.386,1.0,-0.35,0.131,0.024,0.277,-0.108
stai_16,0.046,0.176,0.039,0.11,0.025,0.176,0.004,0.146,0.001,0.175,-0.036,0.2,0.034,0.134,-0.35,1.0,-0.33,0.082,0.045,0.316
stai_17,0.032,0.063,0.192,0.052,0.188,-0.039,0.206,-0.019,0.196,0.009,0.182,-0.082,0.302,-0.018,0.131,-0.33,1.0,-0.382,0.124,0.051
stai_18,0.067,0.153,0.019,0.083,0.044,0.118,0.021,0.129,-0.002,0.075,0.007,0.239,-0.116,0.201,0.024,0.082,-0.382,1.0,-0.337,0.063
stai_19,0.054,0.075,0.162,0.034,0.179,-0.001,0.174,-0.041,0.248,0.016,0.148,-0.035,0.257,-0.093,0.277,0.045,0.124,-0.337,1.0,-0.276
stai_20,0.064,0.19,0.056,0.14,0.115,0.114,0.047,0.142,0.023,0.23,-0.018,0.148,0.023,0.226,-0.108,0.316,0.051,0.063,-0.276,1.0
