,stai_1,stai_2,stai_3,stai_4,stai_5,stai_6,stai_7,stai_8,stai_9,stai_10,stai_11,stai_12,stai_13,stai_14,stai_15,stai_16,stai_17,stai_18,stai_19,stai_20
stai_1,1.0,0.106,-0.143,0.038,0.054,0.032,-0.038,0.071,-0.033,0.107,-0.003,0.026,-0.021,-0.017,0.069,0.052,-0.041,0.006,0.077,0.013
stai_2,0.106,1.0,-0.37,0.105,-0.049,0.312,-0.113,0.249,-0.076,0.295,-0.064,0.185,-0.011,0.13,0.062,0.219,0.009,0.158,0.071,0.193
stai_3,-0.143,-0.37,1.0,-0.414,0.294,-0.052,0.374,-0.207,0.315,-0.16,0.251,-0.017,0.266,-0.049,0.17,-0.074,0.276,0.024,0.14,0.001
stai_4,0.038,0.105,-0.414,1.0,-0.383,0.131,-0.099,0.245,-0.111,0.278,-0.149,0.262,-0.05,0.25,-0.111,0.218,0.016,0.139,-0.066,0.259
stai_5,0.054,-0.049,0.294,-0.383,1.0,-0.434,0.319,-0.105,0.28,-0.026,0.35,-0.115,0.271,-0.114,0.363,-0.001,0.226,-0.047,0.328,-0.017
stai_6,0.032,0.312,-0.052,0.131,-0.434,1.0,-0.476,0.211,-0.124,0.166,-0.126,0.302,-0.12,0.205,-0.152,0.187,-0.077,0.23,-0.156,0.196
stai_7,-0.038,-0.113,0.374,-0.099,0.319,-0.476,1.0,-0.474,0.31,-0.099,0.235,-0.082,0.341,-0.065,0.187,-0.07,0.341,-0.027,0.184,0.019
stai_8,0.071,0.249,-0.207,0.245,-0.105,0.211,-0.474,1.0,-0.484,0.242,-0.053,0.163,-0.169,0.195,-0.005,0.282,-0.168,0.148,0.014,0.162
stai_9,-0.033,-0.076,0.315,-0.111,0.28,-0.124,0.31,-0.484,1.0,-0.411,0.17,-0.037,0.362,-0.101,0.174,-0.106,0.32,-0.007,0.209,-0.047
stai_10,0.107,0.295,-0.16,0.278,-0.026,0.166,-0.099,0.242,-0.411,1.0,-0.394,0.197,-0.075,0.234,-0.079,0.289,-0.094,0.14,-0.022,0.279
stai_11,-0.003,-0.064,0.251,-0.149,0.35,-0.126,0.235,-0.053,0.17,-0.394,1.0,-0.399,0.109,-0.086,0.364,-0.11,0.225,-0.064,0.281,-0.126
stai_12,0.026,0.185,-0.017,0.262,-0.115,0.302,-0.082,0.163,-0.037,0.197,-0.399,1.0,-0.356,0.262,-0.122,0.272,-0.075,0.295,-0.126,0.305
stai_13,-0.021,-0.011,0.266,-0.05,0.271,-0.12,0.341,-0.169,0.362,-0.075,0.109,-0.356,1.0,-0.383,0.16,-0.074,0.429,-0.162,0.257,-0.019
stai_14,-0.017,0.13,-0.049,0.25,-0.114,0.205,-0.065,0.195,-0.101,0.234,-0.086,0.262,-0.383,1.0,-0.429,0.238,-0.081,0.366,-0.243,0.324
stai_15,0.069,0.062,0.17,-0.111,0.363,-0.152,0.187,-0.005,0.174,-0.079,0.364,-0.122,0.16,-0.429,1.0,-0.38,0.187,-0.115,0.442,-0.268
stai_16,0.052,0.219,-0.074,0.218,-0.001,0.187,-0.07,0.282,-0.106,0.289,-0.11,0.272,-0.074,0.238,-0.38,1.0,-0.354,0.152,-0.019,0.429
stai_17,-0.041,0.009,0.276,0.016,0.226,-0.077,0.341,-0.168,0.32,-0.094,0.225,-0.075,0.429,-0.081,0.187,-0.354,1.0,-0.373,0.194,-0.03
stai_18,0.006,0.158,0.024,0.139,-0.047,0.23,-0.027,0.148,-0.007,0.14,-0.064,0.295,-0.162,0.366,-0.115,0.152,-0.373,1.0,-0.423,0.19
stai_19,0.077,0.071,0.14,-0.066,0.328,-0.156,0.184,0.014,0.209,-0.022,0.281,-0.126,0.257,-0.243,0.442,-0.019,0.194,-0.423,1.0,-0.372
stai_20,0.013,0.193,0.001,0.259,-0.017,0.196,0.019,0.162,-0.047,0.279,-0.126,0.305,-0.019,0.324,-0.268,0.429,-0.03,0.19,-0.372,1.0
